TACC:  Starting up job 10024619 
TACC:  Starting parallel tasks... 
0 Citeseer_feat_L2.txt 0.000936096 0.000935034 1.062e-06
1 Citeseer_feat_L2.txt 0.000909812 0.000909154 6.58e-07
2 Citeseer_feat_L2.txt 0.000927188 0.000926486 7.02e-07
3 Citeseer_feat_L2.txt 0.000988231 0.000987458 7.73e-07
4 Citeseer_feat_L2.txt 0.00105876 0.00105792 8.39e-07
5 Citeseer_feat_L2.txt 0.00118203 0.00118125 7.82e-07
6 Citeseer_feat_L2.txt 0.000987768 0.000987093 6.75e-07
7 Citeseer_feat_L2.txt 0.00100612 0.00100527 8.49e-07
8 Citeseer_feat_L2.txt 0.00103934 0.00103861 7.39e-07
9 Citeseer_feat_L2.txt 0.000975198 0.000974388 8.1e-07
10 Citeseer_feat_L2.txt 0.00106123 0.00106053 7.04e-07
11 Citeseer_feat_L2.txt 0.0010447 0.00104396 7.38e-07
12 Citeseer_feat_L2.txt 0.00109216 0.00109141 7.42e-07
13 Citeseer_feat_L2.txt 0.00109265 0.00109187 7.81e-07
14 Citeseer_feat_L2.txt 0.00100385 0.00100316 6.89e-07
15 Citeseer_feat_L2.txt 0.00117089 0.00117013 7.57e-07
16 Citeseer_feat_L2.txt 0.000895786 0.000895055 7.31e-07
17 Citeseer_feat_L2.txt 0.00115451 0.00115378 7.25e-07
18 Citeseer_feat_L2.txt 0.000942498 0.000941811 6.87e-07
19 Citeseer_feat_L2.txt 0.00101185 0.00101116 6.93e-07
20 Citeseer_feat_L2.txt 0.00107965 0.00107899 6.61e-07
21 Citeseer_feat_L2.txt 0.00104467 0.00104386 8.04e-07
22 Citeseer_feat_L2.txt 0.00108842 0.00108776 6.62e-07
23 Citeseer_feat_L2.txt 0.00117212 0.00117139 7.27e-07
24 Citeseer_feat_L2.txt 0.00110903 0.00110829 7.38e-07
25 Citeseer_feat_L2.txt 0.00107303 0.00107226 7.61e-07
26 Citeseer_feat_L2.txt 0.000995179 0.000994475 7.04e-07
27 Citeseer_feat_L2.txt 0.00103051 0.00102981 7.01e-07
28 Citeseer_feat_L2.txt 0.00110606 0.00110527 7.85e-07
29 Citeseer_feat_L2.txt 0.00116531 0.00116461 7.01e-07
30 Citeseer_feat_L2.txt 0.00103902 0.00103829 7.37e-07
31 Citeseer_feat_L2.txt 0.00106154 0.0010608 7.37e-07
32 Citeseer_feat_L2.txt 0.00102654 0.0010258 7.38e-07
33 Citeseer_feat_L2.txt 0.000997611 0.000996685 9.26e-07
34 Citeseer_feat_L2.txt 0.00104264 0.00104195 6.88e-07
35 Citeseer_feat_L2.txt 0.0010491 0.00104827 8.26e-07
36 Citeseer_feat_L2.txt 0.0010048 0.0010041 6.95e-07
37 Citeseer_feat_L2.txt 0.00103619 0.00103534 8.43e-07
38 Citeseer_feat_L2.txt 0.00109436 0.00109365 7.11e-07
39 Citeseer_feat_L2.txt 0.00103881 0.00103789 9.26e-07
40 Citeseer_feat_L2.txt 0.00104698 0.00104626 7.19e-07
41 Citeseer_feat_L2.txt 0.0011085 0.00110767 8.38e-07
42 Citeseer_feat_L2.txt 0.00104855 0.00104775 7.99e-07
43 Citeseer_feat_L2.txt 0.00102093 0.00102019 7.37e-07
44 Citeseer_feat_L2.txt 0.00104034 0.00103966 6.76e-07
45 Citeseer_feat_L2.txt 0.00104132 0.00104045 8.61e-07
46 Citeseer_feat_L2.txt 0.00105341 0.00105251 9.07e-07
47 Citeseer_feat_L2.txt 0.00105823 0.0010575 7.3e-07
48 Citeseer_feat_L2.txt 0.000931186 0.000930238 9.48e-07
49 Citeseer_feat_L2.txt 0.00111275 0.001112 7.55e-07
50 Citeseer_feat_L2.txt 0.00100974 0.00100905 6.85e-07
51 Citeseer_feat_L2.txt 0.00112628 0.00112554 7.43e-07
52 Citeseer_feat_L2.txt 0.00110943 0.0011087 7.35e-07
53 Citeseer_feat_L2.txt 0.00111571 0.00111493 7.83e-07
54 Citeseer_feat_L2.txt 0.00107346 0.00107275 7.08e-07
55 Citeseer_feat_L2.txt 0.00115616 0.0011554 7.58e-07
56 Citeseer_feat_L2.txt 0.00100834 0.00100761 7.32e-07
57 Citeseer_feat_L2.txt 0.00102307 0.00102235 7.16e-07
58 Citeseer_feat_L2.txt 0.00098957 0.000988919 6.51e-07
59 Citeseer_feat_L2.txt 0.00113215 0.00113134 8.12e-07
60 Citeseer_feat_L2.txt 0.00103242 0.00103168 7.42e-07
61 Citeseer_feat_L2.txt 0.00110567 0.0011049 7.68e-07
62 Citeseer_feat_L2.txt 0.00104412 0.00104341 7.13e-07
63 Citeseer_feat_L2.txt 0.00102639 0.00102566 7.24e-07
